id,day,slot,channel,pillar,title,hook,body,cta,url,utm_campaign,utm_content,visual_brief,compliance_footer,status,published_url,notes
fb-d01-0900,1,09:00,Page,台指期量化入門,台指期研究先看流程,研究不是先找策略，而是先定義流程。,"說明資料、策略、Paper Trading、風控、OMS 的順序。","查看官網",https://taifex-quant-trading-platform-website-7rf8yy2zd.vercel.app/zh/,fb_growth_30d,fb-d01-0900,五段流程圖,"Paper Only；不構成投資建議；ENABLE_LIVE_TRADING=false。",draft,,
fb-d01-1230,1,12:30,Group,TX / MTX / TMF 曝險換算,口數不同，曝險不一定不同,TX、MTX、TMF 要用等值曝險比較。,"介紹 TX-equivalent 概念與研究用途。","留言取得 Checklist",https://www.facebook.com/groups/1323940496297459,fb_growth_30d,fb-d01-1230,曝險換算圖卡,"Paper Only；教育用途；不構成投資建議。",draft,,
fb-d01-1600,1,16:00,Page + Group,策略研究標準化,StrategySignal 只該輸出 signal,策略研究與下單意圖要分離。,"說明 StrategySignal -> PaperOrderIntent 的責任切分。","開啟 Web App Demo",https://taifex-quant-trading-platform-front.vercel.app/?lang=zh,fb_growth_30d,fb-d01-1600,signal 到 intent 流程圖,"Paper Only；不構成投資建議；No broker。",draft,,
fb-d01-2030,1,20:30,related groups if allowed,社群問答與研究任務,你最想標準化哪一段？,資料、回測、Paper Trading、風控，哪段最容易亂？,"提出 4 個選項，邀請留言流程痛點。","加入研究社群",https://www.facebook.com/groups/1323940496297459,fb_growth_30d,fb-d01-2030,投票圖卡,"先確認社團規則；不重複貼文；不構成投資建議。",draft,,
fb-d02-0900,2,09:00,Page,回測與換月資料,換月資料不是回測小細節,連續期貨資料與可交易價格要分開。,"說明 rollover event、data_version、研究資料邊界。","查看官網",https://taifex-quant-trading-platform-website-7rf8yy2zd.vercel.app/zh/,fb_growth_30d,fb-d02-0900,換月時間軸,"Paper Only；不構成投資建議。",draft,,
fb-d02-1230,2,12:30,Group,資料治理,你的回測資料有版本嗎？,沒有 data_version，回測很難被重現。,"分享資料版本、來源、清洗紀錄的基本欄位。","留言取得 Checklist",https://www.facebook.com/groups/1323940496297459,fb_growth_30d,fb-d02-1230,資料表欄位圖,"教育用途；不收帳戶資料；不構成投資建議。",draft,,
fb-d02-1600,2,16:00,Page,回測與換月資料,continuous futures 的常見誤解,研究價格不等於下單價格。,"說明 continuous futures 可用於研究，但不能直接當成實際成交資料。","查看官網",https://taifex-quant-trading-platform-website-7rf8yy2zd.vercel.app/zh/,fb_growth_30d,fb-d02-1600,對照表,"Paper Only；不宣稱績效；不構成投資建議。",draft,,
fb-d02-2030,2,20:30,Group,社群問答與研究任務,本週資料任務：列出你的資料欄位,先看資料欄位，再談策略研究。,"邀請使用者列出資料來源、頻率、換月處理方式。","留言分享你的流程",https://www.facebook.com/groups/1323940496297459,fb_growth_30d,fb-d02-2030,問答卡,"不貼個人帳戶或委託資料；不構成投資建議。",draft,,
fb-d03-0900,3,09:00,Page,Web App Interactive Demo,打開瀏覽器就能跑 demo,不需要本地後端，也能體驗資料到 Paper order。,"介紹 Browser-only Demo 的 6 步流程。","開啟 Web App Demo",https://taifex-quant-trading-platform-front.vercel.app/?lang=zh,fb_growth_30d,fb-d03-0900,Demo stepper 截圖,"Paper Only；不構成投資建議；ENABLE_LIVE_TRADING=false。",draft,,
fb-d03-1230,3,12:30,Group,Paper Trading,Generate market tick 怎麼看,模擬行情不是實際行情，但能訓練流程判讀。,"說明 bid/ask/spread/quote age 的展示目的。","開啟 Web App Demo",https://taifex-quant-trading-platform-front.vercel.app/?lang=zh,fb_growth_30d,fb-d03-1230,行情卡片,"deterministic mock data only；Paper Only。",draft,,
fb-d03-1600,3,16:00,Page + Group,Web App Interactive Demo,Run mock strategy 的價值,策略先輸出 signal，不直接建立真實委託。,"說明 signal-only 研究流程與 Paper Only 邊界。","開啟 Web App Demo",https://taifex-quant-trading-platform-front.vercel.app/?lang=zh,fb_growth_30d,fb-d03-1600,signal 面板截圖,"No broker；no real order；不構成投資建議。",draft,,
fb-d03-2030,3,20:30,Group,社群問答與研究任務,你希望 demo 多顯示哪個欄位？,讓使用者回饋行情、策略、OMS、PnL 欄位。,"收集 UX 問題與產品需求。","留言提供回饋",https://www.facebook.com/groups/1323940496297459,fb_growth_30d,fb-d03-2030,問答卡,"不收憑證或帳戶資訊；不構成投資建議。",draft,,
fb-d04-0900,4,09:00,Page,Risk Engine / OMS,Risk Engine 在 OMS 前面,先風控，再進 OMS，這是交易基礎設施邏輯。,"說明 stale quote、exposure、order size 等檢查。","查看官網",https://taifex-quant-trading-platform-website-7rf8yy2zd.vercel.app/zh/,fb_growth_30d,fb-d04-0900,風控閘門圖,"Paper Only；不構成投資建議。",draft,,
fb-d04-1230,4,12:30,Group,Risk Engine / OMS,stale quote 為何要拒絕,報價過舊時，Paper order 也應被拒絕。,"用 demo 說明 quote age 與拒單原因。","開啟 Web App Demo",https://taifex-quant-trading-platform-front.vercel.app/?lang=zh,fb_growth_30d,fb-d04-1230,stale quote 圖卡,"Paper Only；不是真實成交；不構成投資建議。",draft,,
fb-d04-1600,4,16:00,Page,Risk Engine / OMS,OMS timeline 讓流程可被檢視,訂單生命週期比成交結果更重要。,"說明 accepted、risk_checked、submitted、filled/rejected。","開啟 Web App Demo",https://taifex-quant-trading-platform-front.vercel.app/?lang=zh,fb_growth_30d,fb-d04-1600,OMS timeline 截圖,"模擬資料；Paper Only；不構成投資建議。",draft,,
fb-d04-2030,4,20:30,Group,Broker Gateway / 安全邊界,為什麼策略不能碰券商 SDK,策略層不應直接連 broker。,"說明 broker gateway isolation 與 future adapter 邊界。","查看官網",https://taifex-quant-trading-platform-website-7rf8yy2zd.vercel.app/zh/,fb_growth_30d,fb-d04-2030,架構分層圖,"No broker；ENABLE_LIVE_TRADING=false；不構成投資建議。",draft,,
fb-d05-0900,5,09:00,Page,社群問答與研究任務,本週問答：你怎麼做回測紀錄？,留下研究證據比只看結果更重要。,"提出 evidence JSON、data_version、code_version 三個概念。","加入研究社群",https://www.facebook.com/groups/1323940496297459,fb_growth_30d,fb-d05-0900,Q&A 圖卡,"不討論個別交易判斷；不構成投資建議。",draft,,
fb-d05-1230,5,12:30,Group,社群問答與研究任務,投票：你目前卡在哪裡？,資料、換月、回測、Paper Trading、風控，選一個。,"使用 poll 收集下週內容方向。","投票並留言",https://www.facebook.com/groups/1323940496297459,fb_growth_30d,fb-d05-1230,投票貼文,"教育討論；不構成投資建議。",draft,,
fb-d05-1600,5,16:00,Page,Web App Interactive Demo,Copy evidence JSON 可以做什麼,Demo 完成後可以把結果帶回來討論。,"說明 evidence 用於回饋、bug 回報、流程驗證。","開啟 Web App Demo",https://taifex-quant-trading-platform-front.vercel.app/?lang=zh,fb_growth_30d,fb-d05-1600,evidence JSON 卡片,"不含真實帳戶資料；Paper Only。",draft,,
fb-d05-2030,5,20:30,Group,社群問答與研究任務,週五研究任務：完成一次 demo,依序按 market tick、strategy、Paper order。,"邀請使用者貼出非敏感 summary，不貼憑證或帳戶資料。","留言完成狀態",https://www.facebook.com/groups/1323940496297459,fb_growth_30d,fb-d05-2030,任務清單,"Paper Only；不構成投資建議。",draft,,
fb-d06-0900,6,09:00,Page,長文 / 案例,從腳本到 Trading OS,單一策略腳本不等於交易基礎設施。,"長文比較 script、research workflow、Risk/OMS/audit 分層。","查看官網",https://taifex-quant-trading-platform-website-7rf8yy2zd.vercel.app/zh/,fb_growth_30d,fb-d06-0900,架構圖,"不宣稱 production trading ready；不構成投資建議。",draft,,
fb-d06-1230,6,12:30,Group,策略研究標準化,案例：策略只輸出 signal,signal-only 可以降低流程耦合。,"用一個假想策略說明 signal 與 PaperOrderIntent 分離。","開啟 Web App Demo",https://taifex-quant-trading-platform-front.vercel.app/?lang=zh,fb_growth_30d,fb-d06-1230,流程圖,"不是交易建議；Paper Only。",draft,,
fb-d06-1600,6,16:00,Page,企業級 Trading OS,企業為什麼需要 audit evidence,可追蹤流程比口頭描述可靠。,"說明 audit event、hash-chain preview、release record。","預約 Demo",https://taifex-quant-trading-platform-website-7rf8yy2zd.vercel.app/zh/,fb_growth_30d,fb-d06-1600,audit trail 圖,"非正式 WORM；教育展示；不構成投資建議。",draft,,
fb-d06-2030,6,20:30,Group,社群問答與研究任務,長文討論：你如何保存研究紀錄？,研究紀錄要能被回看與驗證。,"邀請分享欄位設計與回測紀錄方式。","加入討論",https://www.facebook.com/groups/1323940496297459,fb_growth_30d,fb-d06-2030,討論卡,"不貼個人金融資料；不構成投資建議。",draft,,
fb-d07-0900,7,09:00,Page,本週整理 / 下週預告,本週整理：從資料到 Paper order,一週內容幫你建立完整研究流程地圖。,"回顧台指期觀念、資料、demo、風控、OMS。","查看官網",https://taifex-quant-trading-platform-website-7rf8yy2zd.vercel.app/zh/,fb_growth_30d,fb-d07-0900,週報圖卡,"教育用途；不構成投資建議。",draft,,
fb-d07-1230,7,12:30,Group,本週整理 / 下週預告,社群整理：最多人問的 3 件事,資料版本、換月、OMS timeline。,"整理回覆並提出下週主題。","留言下週想看主題",https://www.facebook.com/groups/1323940496297459,fb_growth_30d,fb-d07-1230,FAQ 卡,"不提供交易判斷；不構成投資建議。",draft,,
fb-d07-1600,7,16:00,Page + Group,Web App Interactive Demo,下週 Demo 主題：市場狀態視覺化,看懂 spread、liquidity、slippage。,"預告 market realism visualization。","開啟 Web App Demo",https://taifex-quant-trading-platform-front.vercel.app/?lang=zh,fb_growth_30d,fb-d07-1600,預告圖,"Paper Only；mock data；不構成投資建議。",draft,,
fb-d07-2030,7,20:30,Group,社群問答與研究任務,下週研究任務預告,觀察 quote age 與 Paper fill reason。,"發布任務說明與安全邊界。","加入研究社群",https://www.facebook.com/groups/1323940496297459,fb_growth_30d,fb-d07-2030,任務預告卡,"Paper Only；不構成投資建議。",draft,,
fb-d08-0900,8,09:00,Page,台指期量化入門,先定義研究問題，再做回測,策略研究要先問：資料、規則、驗證目標是什麼？,"三步說明研究問題格式。","查看官網",https://taifex-quant-trading-platform-website-7rf8yy2zd.vercel.app/zh/,fb_growth_30d,fb-d08-0900,三步驟卡,"教育用途；不構成投資建議。",draft,,
fb-d08-1230,8,12:30,Group,TX / MTX / TMF 曝險換算,TX-equivalent 如何避免誤判,用等值曝險比較策略，不只看口數。,"舉例 1 TX / 4 MTX / 20 TMF 的研究意義。","留言取得 Checklist",https://www.facebook.com/groups/1323940496297459,fb_growth_30d,fb-d08-1230,換算表,"不建議交易標的；不構成投資建議。",draft,,
